Data;Índice de volume mensal com ajuste sazonal - PIB a preços de mercado (1428682)
01/2000;108,515
02/2000;108,898
03/2000;109,620
04/2000;108,339
05/2000;110,567
06/2000;111,993
07/2000;112,087
08/2000;112,383
09/2000;111,724
10/2000;113,054
11/2000;113,192
12/2000;114,330
01/2001;112,742
02/2001;113,502
03/2001;112,827
04/2001;112,694
05/2001;113,466
06/2001;113,027
07/2001;113,214
08/2001;112,775
09/2001;112,298
10/2001;112,389
11/2001;112,764
12/2001;113,028
01/2002;114,150
02/2002;115,850
03/2002;113,171
04/2002;114,341
05/2002;115,139
06/2002;115,495
07/2002;116,278
08/2002;116,834
09/2002;117,794
10/2002;118,211
11/2002;118,264
12/2002;117,698
01/2003;115,530
02/2003;117,342
03/2003;118,242
04/2003;117,730
05/2003;115,555
06/2003;116,438
07/2003;116,607
08/2003;117,133
09/2003;118,713
10/2003;118,404
11/2003;118,561
12/2003;118,055
01/2004;119,767
02/2004;120,830
03/2004;122,491
04/2004;123,373
05/2004;122,827
06/2004;124,760
07/2004;125,142
08/2004;125,545
09/2004;126,265
10/2004;126,096
11/2004;126,820
12/2004;126,609
01/2005;126,467
02/2005;126,457
03/2005;127,461
04/2005;129,388
05/2005;128,105
06/2005;128,199
07/2005;127,933
08/2005;128,892
09/2005;127,935
10/2005;128,571
11/2005;129,048
12/2005;130,188
01/2006;131,241
02/2006;131,221
03/2006;131,498
04/2006;132,044
05/2006;131,997
06/2006;132,816
07/2006;134,006
08/2006;134,268
09/2006;134,684
10/2006;134,939
11/2006;136,170
12/2006;137,313
01/2007;137,920
02/2007;138,301
03/2007;138,499
04/2007;139,295
05/2007;140,384
06/2007;142,721
07/2007;141,483
08/2007;142,266
09/2007;143,511
10/2007;144,429
11/2007;144,645
12/2007;145,760
01/2008;147,263
02/2008;147,194
03/2008;147,165
04/2008;147,863
05/2008;149,599
06/2008;150,889
07/2008;151,435
08/2008;151,497
09/2008;151,154
10/2008;148,356
11/2008;145,483
12/2008;141,674
01/2009;142,313
02/2009;143,621
03/2009;144,593
04/2009;145,974
05/2009;146,599
06/2009;147,703
07/2009;148,068
08/2009;150,847
09/2009;151,409
10/2009;152,607
11/2009;153,677
12/2009;154,583
01/2010;155,217
02/2010;156,395
03/2010;158,237
04/2010;159,828
05/2010;158,532
06/2010;158,360
07/2010;159,480
08/2010;160,627
09/2010;161,489
10/2010;162,449
11/2010;163,785
12/2010;162,258
01/2011;164,165
02/2011;164,245
03/2011;164,689
04/2011;164,839
05/2011;166,435
06/2011;167,317
07/2011;166,049
08/2011;165,921
09/2011;166,582
10/2011;166,925
11/2011;167,958
12/2011;166,598
01/2012;165,246
02/2012;166,035
03/2012;166,496
04/2012;166,541
05/2012;168,434
06/2012;169,421
07/2012;170,473
08/2012;171,791
09/2012;170,867
10/2012;171,042
11/2012;171,084
12/2012;173,760
01/2013;171,986
02/2013;171,275
03/2013;172,338
04/2013;174,112
05/2013;174,160
06/2013;173,781
07/2013;174,491
08/2013;175,173
09/2013;175,688
10/2013;175,305
11/2013;176,179
12/2013;175,471
01/2014;176,596
02/2014;176,884
03/2014;177,357
04/2014;176,273
05/2014;174,776
06/2014;172,186
07/2014;172,817
08/2014;174,201
09/2014;174,405
10/2014;174,543
11/2014;174,281
12/2014;175,192
01/2015;174,287
02/2015;172,957
03/2015;173,830
04/2015;171,138
05/2015;170,177
06/2015;168,035
07/2015;166,361
08/2015;167,932
09/2015;166,896
10/2015;166,878
11/2015;164,738
12/2015;165,535
01/2016;164,952
02/2016;164,672
03/2016;164,037
04/2016;163,505
05/2016;162,930
06/2016;163,271
07/2016;163,158
08/2016;162,835
09/2016;163,008
10/2016;162,529
11/2016;162,675
12/2016;161,723
01/2017;162,604
02/2017;164,473
03/2017;165,451
04/2017;165,480
05/2017;165,111
06/2017;166,192
07/2017;166,295
08/2017;165,916
09/2017;166,010
10/2017;166,037
11/2017;167,113
12/2017;168,335
01/2018;167,906
02/2018;167,873
03/2018;168,283
04/2018;169,532
05/2018;163,537
06/2018;169,368
07/2018;169,510
08/2018;170,120
09/2018;169,680
10/2018;169,503
11/2018;169,488
12/2018;169,471
01/2019;170,739
02/2019;170,077
03/2019;169,570
04/2019;169,808
05/2019;170,262
06/2019;170,664
07/2019;171,071
08/2019;171,152
09/2019;171,583
10/2019;172,157
11/2019;171,106
12/2019;170,811
01/2020;170,856
02/2020;172,263
03/2020;164,131
04/2020;149,117
05/2020;150,630
06/2020;157,293
07/2020;162,295
08/2020;164,662
09/2020;167,528
10/2020;168,128
11/2020;169,894
12/2020;171,509
