bairro,racial,renda,valor
Aeroclube,Branca,Até 1/2 SM,31
Aeroclube,Branca,Mais de 1/2 a 1 SM,408
Aeroclube,Branca,Mais de 1 a 2 SM,716
Aeroclube,Branca,Mais de 2 a 3 SM,484
Aeroclube,Branca,Mais de 3 a 5 SM,705
Aeroclube,Branca,Mais de 5 a 10 SM,807
Aeroclube,Branca,Mais de 10 SM,564
Aeroclube,Branca,Sem rendimento,1617
Aeroclube,Branca,Total,5332
Aeroclube,Parda,Até 1/2 SM,15
Aeroclube,Parda,Mais de 1/2 a 1 SM,351
Aeroclube,Parda,Mais de 1 a 2 SM,452
Aeroclube,Parda,Mais de 2 a 3 SM,241
Aeroclube,Parda,Mais de 3 a 5 SM,301
Aeroclube,Parda,Mais de 5 a 10 SM,415
Aeroclube,Parda,Mais de 10 SM,220
Aeroclube,Parda,Sem rendimento,835
Aeroclube,Parda,Total,2830
Aeroclube,Preta,Até 1/2 SM,3
Aeroclube,Preta,Mais de 1/2 a 1 SM,41
Aeroclube,Preta,Mais de 1 a 2 SM,36
Aeroclube,Preta,Mais de 2 a 3 SM,20
Aeroclube,Preta,Mais de 3 a 5 SM,25
Aeroclube,Preta,Mais de 5 a 10 SM,32
Aeroclube,Preta,Mais de 10 SM,16
Aeroclube,Preta,Sem rendimento,55
Aeroclube,Preta,Total,228
Aeroclube,Indígena,Até 1/2 SM,0
Aeroclube,Indígena,Mais de 1/2 a 1 SM,5
Aeroclube,Indígena,Mais de 1 a 2 SM,5
Aeroclube,Indígena,Mais de 2 a 3 SM,2
Aeroclube,Indígena,Mais de 3 a 5 SM,3
Aeroclube,Indígena,Mais de 5 a 10 SM,6
Aeroclube,Indígena,Mais de 10 SM,0
Aeroclube,Indígena,Sem rendimento,4
Aeroclube,Indígena,Total,25
Aeroclube,Amarela,Até 1/2 SM,0
Aeroclube,Amarela,Mais de 1/2 a 1 SM,7
Aeroclube,Amarela,Mais de 1 a 2 SM,22
Aeroclube,Amarela,Mais de 2 a 3 SM,12
Aeroclube,Amarela,Mais de 3 a 5 SM,9
Aeroclube,Amarela,Mais de 5 a 10 SM,14
Aeroclube,Amarela,Mais de 10 SM,7
Aeroclube,Amarela,Sem rendimento,37
Aeroclube,Amarela,Total,108
Aeroclube,Total,Até 1/2 SM,49
Aeroclube,Total,Mais de 1/2 a 1 SM,812
Aeroclube,Total,Mais de 1 a 2 SM,1231
Aeroclube,Total,Mais de 2 a 3 SM,759
Aeroclube,Total,Mais de 3 a 5 SM,1043
Aeroclube,Total,Mais de 5 a 10 SM,1274
Aeroclube,Total,Mais de 10 SM,807
Aeroclube,Total,Sem rendimento,2548
Aeroclube,Total,Total,8523
Água Fria,Branca,Até 1/2 SM,16
Água Fria,Branca,Mais de 1/2 a 1 SM,353
Água Fria,Branca,Mais de 1 a 2 SM,511
Água Fria,Branca,Mais de 2 a 3 SM,305
Água Fria,Branca,Mais de 3 a 5 SM,387
Água Fria,Branca,Mais de 5 a 10 SM,231
Água Fria,Branca,Mais de 10 SM,41
Água Fria,Branca,Sem rendimento,886
Água Fria,Branca,Total,2730
Água Fria,Parda,Até 1/2 SM,25
Água Fria,Parda,Mais de 1/2 a 1 SM,345
Água Fria,Parda,Mais de 1 a 2 SM,431
Água Fria,Parda,Mais de 2 a 3 SM,301
Água Fria,Parda,Mais de 3 a 5 SM,271
Água Fria,Parda,Mais de 5 a 10 SM,185
Água Fria,Parda,Mais de 10 SM,40
Água Fria,Parda,Sem rendimento,734
Água Fria,Parda,Total,2332
Água Fria,Preta,Até 1/2 SM,0
Água Fria,Preta,Mais de 1/2 a 1 SM,41
Água Fria,Preta,Mais de 1 a 2 SM,64
Água Fria,Preta,Mais de 2 a 3 SM,38
Água Fria,Preta,Mais de 3 a 5 SM,37
Água Fria,Preta,Mais de 5 a 10 SM,22
Água Fria,Preta,Mais de 10 SM,7
Água Fria,Preta,Sem rendimento,85
Água Fria,Preta,Total,294
Água Fria,Indígena,Até 1/2 SM,0
Água Fria,Indígena,Mais de 1/2 a 1 SM,2
Água Fria,Indígena,Mais de 1 a 2 SM,4
Água Fria,Indígena,Mais de 2 a 3 SM,3
Água Fria,Indígena,Mais de 3 a 5 SM,0
Água Fria,Indígena,Mais de 5 a 10 SM,0
Água Fria,Indígena,Mais de 10 SM,0
Água Fria,Indígena,Sem rendimento,12
Água Fria,Indígena,Total,21
Água Fria,Amarela,Até 1/2 SM,2
Água Fria,Amarela,Mais de 1/2 a 1 SM,6
Água Fria,Amarela,Mais de 1 a 2 SM,13
Água Fria,Amarela,Mais de 2 a 3 SM,7
Água Fria,Amarela,Mais de 3 a 5 SM,8
Água Fria,Amarela,Mais de 5 a 10 SM,11
Água Fria,Amarela,Mais de 10 SM,1
Água Fria,Amarela,Sem rendimento,22
Água Fria,Amarela,Total,70
Água Fria,Total,Até 1/2 SM,43
Água Fria,Total,Mais de 1/2 a 1 SM,747
Água Fria,Total,Mais de 1 a 2 SM,1023
Água Fria,Total,Mais de 2 a 3 SM,654
